Date,Dividends
2003-02-19 00:00:00-05:00,0.08
2003-10-15 00:00:00-04:00,0.16
2004-08-23 00:00:00-04:00,0.08
2004-11-15 00:00:00-05:00,3.08
2005-02-15 00:00:00-05:00,0.08
2005-05-16 00:00:00-04:00,0.08
2005-08-15 00:00:00-04:00,0.08
2005-11-15 00:00:00-05:00,0.08
2006-02-15 00:00:00-05:00,0.09
2006-05-15 00:00:00-04:00,0.09
2006-08-15 00:00:00-04:00,0.09
2006-11-14 00:00:00-05:00,0.1
2007-02-13 00:00:00-05:00,0.1
2007-05-15 00:00:00-04:00,0.1
2007-08-14 00:00:00-04:00,0.1
2007-11-13 00:00:00-05:00,0.11
2008-02-19 00:00:00-05:00,0.11
2008-05-13 00:00:00-04:00,0.11
2008-08-19 00:00:00-04:00,0.11
2008-11-18 00:00:00-05:00,0.13
2009-02-17 00:00:00-05:00,0.13
2009-05-19 00:00:00-04:00,0.13
2009-08-18 00:00:00-04:00,0.13
2009-11-17 00:00:00-05:00,0.13
2010-02-16 00:00:00-05:00,0.13
2010-05-18 00:00:00-04:00,0.13
2010-08-17 00:00:00-04:00,0.13
2010-11-16 00:00:00-05:00,0.16
2011-02-15 00:00:00-05:00,0.16
2011-05-17 00:00:00-04:00,0.16
2011-08-16 00:00:00-04:00,0.16
2011-11-15 00:00:00-05:00,0.2
2012-02-14 00:00:00-05:00,0.2
2012-05-15 00:00:00-04:00,0.2
2012-08-14 00:00:00-04:00,0.2
2012-11-13 00:00:00-05:00,0.23
2013-02-19 00:00:00-05:00,0.23
2013-05-14 00:00:00-04:00,0.23
2013-08-13 00:00:00-04:00,0.23
2013-11-19 00:00:00-05:00,0.28
2014-02-18 00:00:00-05:00,0.28
2014-05-13 00:00:00-04:00,0.28
2014-08-19 00:00:00-04:00,0.28
2014-11-18 00:00:00-05:00,0.31
2015-02-17 00:00:00-05:00,0.31
2015-05-19 00:00:00-04:00,0.31
2015-08-18 00:00:00-04:00,0.31
2015-11-17 00:00:00-05:00,0.36
2016-02-16 00:00:00-05:00,0.36
2016-05-17 00:00:00-04:00,0.36
2016-08-16 00:00:00-04:00,0.36
2016-11-15 00:00:00-05:00,0.39
2017-02-14 00:00:00-05:00,0.39
2017-05-16 00:00:00-04:00,0.39
2017-08-15 00:00:00-04:00,0.39
2017-11-15 00:00:00-05:00,0.42
2018-02-14 00:00:00-05:00,0.42
2018-05-16 00:00:00-04:00,0.42
2018-08-15 00:00:00-04:00,0.42
2018-11-14 00:00:00-05:00,0.46
2019-02-20 00:00:00-05:00,0.46
2019-05-15 00:00:00-04:00,0.46
2019-08-14 00:00:00-04:00,0.46
2019-11-20 00:00:00-05:00,0.51
2020-02-19 00:00:00-05:00,0.51
2020-05-20 00:00:00-04:00,0.51
2020-08-19 00:00:00-04:00,0.51
2020-11-18 00:00:00-05:00,0.56
2021-02-17 00:00:00-05:00,0.56
2021-05-19 00:00:00-04:00,0.56
2021-08-18 00:00:00-04:00,0.56
2021-11-17 00:00:00-05:00,0.62
2022-02-16 00:00:00-05:00,0.62
2022-05-18 00:00:00-04:00,0.62
2022-08-17 00:00:00-04:00,0.62
2022-11-16 00:00:00-05:00,0.68
2023-02-15 00:00:00-05:00,0.68
2023-05-17 00:00:00-04:00,0.68
2023-08-16 00:00:00-04:00,0.68
2023-11-15 00:00:00-05:00,0.75
2024-02-14 00:00:00-05:00,0.75
2024-05-15 00:00:00-04:00,0.75
2024-08-15 00:00:00-04:00,0.75
2024-11-21 00:00:00-05:00,0.83
2025-02-20 00:00:00-05:00,0.83
2025-05-15 00:00:00-04:00,0.83
2025-08-21 00:00:00-04:00,0.83
2025-11-20 00:00:00-05:00,0.91
